IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
9041;57;G17;Papeleta de Tránsito;G;3;2022;3;1;368;0
9042;116;G46;Video Papeleta;G;5;2022;5;1;368;0
9043;202;M16;Video Papeleta;M;2;2022;2;1;552;0
9044;120;G47;Video Papeleta;G;4;2022;4;2;736;0
9045;132;G53;Papeleta de Tránsito;G;7;2022;7;1;368;0
9046;184;M04;Papeleta de Tránsito;M;6;2022;6;6;27600;0
9047;74;G29;Video Papeleta;G;3;2022;3;5;1840;0
9048;49;G14;Papeleta de Tránsito;G;3;2022;3;259;95312;5152
9049;193;M11;Papeleta de Tránsito;M;5;2022;5;1;552;0
9050;183;M03;Papeleta de Tránsito;M;8;2022;8;6;13800;0
9051;193;M11;Papeleta de Tránsito;M;2;2022;2;1;552;0
9052;181;M01;Papeleta de Tránsito;M;2;2022;2;2;9200;0
9053;38;G10;Papeleta de Tránsito;G;5;2022;5;1;368;0
9054;183;M03;Papeleta de Tránsito;M;8;2022;8;20;46000;0
9055;179;L07;Papeleta de Tránsito;L;12;2022;12;10;1840;368
9056;184;M04;Papeleta de Tránsito;M;5;2022;5;1;4600;0
9057;222;M24;Papeleta de Tránsito;M;11;2022;11;23;12696;0
9058;176;L04;Papeleta de Tránsito;L;7;2022;7;1;184;0
9059;182;M02;Papeleta de Tránsito;M;7;2022;7;2;4600;0
9060;104;G42;Papeleta de Tránsito Electrónica;G;7;2022;7;1;368;0
9061;183;M03;Papeleta de Tránsito;M;3;2022;3;2;4600;0
9062;183;M03;Papeleta de Tránsito;M;6;2022;6;8;18400;0
9063;184;M04;Papeleta de Tránsito;M;10;2022;10;2;9200;4600
9064;58;G18a;Papeleta de Tránsito;G;3;2022;3;9;3312;0
9065;214;M20c;Papeleta Electrónica;M;10;2022;10;29;66700;2300
9066;184;M04;Papeleta de Tránsito;M;7;2022;7;1;4600;0
9067;42;G11;Papeleta de Tránsito;G;1;2022;1;1;368;0
9068;58;G18a;Papeleta de Tránsito;G;4;2022;4;2;736;0
9069;146;G58;Papeleta de Tránsito;G;5;2022;5;1;368;0
9070;183;M03;Papeleta de Tránsito;M;4;2022;4;1;2300;0
9071;153;G63;Papeleta de Tránsito;G;1;2022;1;1;368;0
9072;105;G42;Video Papeleta;G;3;2022;3;9;3312;0
9073;183;M03;Papeleta de Tránsito;M;8;2022;8;2;4600;0
9074;225;M27;Papeleta de Tránsito;M;11;2022;11;6;13800;0
9075;183;M03;Papeleta de Tránsito;M;8;2022;8;2;4600;0
9076;183;M03;Papeleta de Tránsito;M;6;2022;6;2;4600;0
9077;151;G61;Papeleta de Tránsito;G;3;2022;3;1;368;0
9078;120;G47;Video Papeleta;G;9;2022;9;18;6624;0
9079;182;M02;Papeleta de Tránsito;M;7;2022;7;1;2300;0
9080;204;M17;Papeleta de Tránsito;M;2;2022;2;2;1104;0
9081;207;M18;Papeleta de Tránsito;M;2;2022;2;2;1104;552
9082;184;M04;Papeleta de Tránsito;M;8;2022;8;14;64400;9200
9083;182;M02;Papeleta de Tránsito;M;3;2022;3;1;2300;0
9084;146;G58;Papeleta de Tránsito;G;7;2022;7;1;368;0
9085;36;G09;Video Papeleta;G;2;2022;2;2;736;0
9086;120;G47;Video Papeleta;G;8;2022;8;1;368;0
9087;242;M44;Video Papeleta;M;3;2022;3;7;3864;0
9088;116;G46;Video Papeleta;G;12;2022;12;1;368;0
9089;181;M01;Papeleta de Tránsito;M;11;2022;11;3;13800;0
9090;210;M20a;Papeleta Electrónica;M;10;2022;10;204;168912;4968
9091;184;M04;Papeleta de Tránsito;M;4;2022;4;1;4600;0
9092;200;M16;Papeleta de Tránsito;M;12;2022;12;20;11040;0
9093;183;M03;Papeleta de Tránsito;M;7;2022;7;3;6900;0
9094;120;G47;Video Papeleta;G;2;2022;2;1;368;0
9095;25;G04;Papeleta de Tránsito;G;8;2022;8;73;26864;0
9096;227;M29;Papeleta de Tránsito;M;8;2022;8;1;552;0
9097;242;M44;Video Papeleta;M;3;2022;3;2;1104;0
